"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"160","3_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 19:05:00","ms2000","Volume","1","1.520","Water","1.330","0.392","1.73","3.1","50.653","3.468","55.329","50.653","14.717","25.490","8.454","102.128","19.36","0.020","2000.000","1.226","2.769","14.717","55.611","125.634","15.496","66.557","17.946","25.773","22.394","18.076","23.439","25.042","7.905","11.165","6.399","0.382","4.066","1.396","0"
"161","3_2_Z1_1 - Average","soil-sediments_1","Thursday, 12 September 2024 19:03:04","ms2000","Volume","1","1.520","Water","1.330","0.334","1.66","4.31","75.205","3.620","53.558","75.205","16.199","25.624","12.528","171.468","19.39","0.020","2000.000","1.283","2.938","16.199","67.883","204.227","14.835","64.072","21.092","24.687","21.479","17.334","22.537","24.201","7.716","10.964","7.657","2.471","4.73","3.466","0.578"
"162","3_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 19:12:15","ms2000","Volume","1","1.520","Water","1.330","0.319","1.64","3.81","68.939","3.665","54.179","68.939","16.612","26.418","11.658","140.154","19.07","0.020","2000.000","1.302","2.997","16.612","70.320","194.963","14.615","63.654","21.731","24.369","21.355","17.22","22.211","24.223","8.577","11.88","8.243","1.608","5.131","3.442","0"
"163","3_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 19:13:13","ms2000","Volume","1","1.520","Water","1.330","0.336","1.65","3.6","63.981","3.633","54.405","63.981","16.264","26.260","10.928","127.776","19.02","0.020","2000.000","1.289","2.957","16.264","68.229","179.024","14.755","63.981","21.264","24.607","21.566","17.392","22.365","24.224","8.525","11.989","8.192","1.083","5.178","2.663","0"
"164","3_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 19:14:12","ms2000","Volume","1","1.520","Water","1.330","0.350","1.68","3.5","60.232","3.578","54.581","60.232","15.713","25.895","10.102","120.943","18.97","0.020","2000.000","1.268","2.893","15.713","64.518","159.996","14.991","64.627","20.381","24.998","21.883","17.654","22.663","24.311","8.439","11.838","7.667","0.877","4.839","2.352","0"
"165","3_2_Z1_2 - Average","soil-sediments_1","Thursday, 12 September 2024 19:12:15","ms2000","Volume","1","1.520","Water","1.330","0.335","1.66","3.64","64.384","3.625","54.388","64.384","16.191","26.187","10.839","129.917","19.02","0.020","2000.000","1.286","2.948","16.191","67.630","176.779","14.787","64.087","21.126","24.658","21.601","17.422","22.413","24.253","8.514","11.902","8.033","1.19","5.049","2.819","0"
"166","1_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 06:22:00","ms2000","Volume","1","1.520","Water","1.330","0.306","1.39","3.3","70.429","4.316","55.738","70.429","19.421","26.201","10.301","122.942","11.17","0.020","2000.000","1.521","3.335","19.421","102.540","201.575","13.118","58.23","28.652","22.727","21.049","16.95","20.465","20.815","11.934","18.556","9.152","0.943","5.492","2.106","0"
"167","1_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 06:22:58","ms2000","Volume","1","1.520","Water","1.330","0.316","1.38","3.47","74.927","4.346","54.92","74.927","19.758","19.688","10.97","130.278","11.14","0.020","2000.000","1.531","3.360","19.758","110.307","218.285","13.03","57.327","29.643","22.61","20.969","16.894","20.293","20.139","11.705","18.562","9.937","1.144","5.956","2.496","0"
"168","1_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 06:23:57","ms2000","Volume","1","1.520","Water","1.330","0.349","1.45","3.34","63.886","4.150","56.21","63.886","17.43","19.966","9.831","118.316","11.09","0.020","2000.000","1.464","3.151","17.430","92.548","172.817","13.667","59.629","26.703","23.715","21.981","17.716","21.183","20.731","11.808","18.562","7.068","1.074","3.904","1.89","0.03"
"169","1_1_Z2_1 - Average","soil-sediments_1","Friday, 13 September 2024 06:22:00","ms2000","Volume","1","1.520","Water","1.330","0.324","1.41","3.38","69.747","4.269","55.623","69.747","18.824","21.309","10.35","124.026","11.13","0.020","2000.000","1.505","3.279","18.824","101.467","196.333","13.272","58.395","28.333","23.017","21.333","17.187","20.647","20.562","11.816","18.56","8.72","1.053","5.117","2.166","0.008"
"170","1_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 06:31:33","ms2000","Volume","1","1.520","Water","1.330","0.295","1.37","2.67","66.510","4.392","58.735","66.51","22.247","47.379","8.287","110.354","19.86","0.020","2000.000","1.549","3.567","22.247","97.816","185.920","12.738","58.626","28.635","21.589","19.436","15.615","19.651","23.361","12.869","19.545","8.516","0.575","5.073","1.537","0"
"171","1_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 06:32:32","ms2000","Volume","1","1.520","Water","1.330","0.307","1.41","2.63","60.657","4.252","59.01","60.657","20.528","44.233","8.018","101.525","19.76","0.020","2000.000","1.498","3.396","20.528","89.284","166.093","13.179","59.938","26.883","22.331","20.072","16.136","20.188","23.614","12.74","19.144","7.344","0.395","4.313","1.187","0"
"172","1_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 06:33:30","ms2000","Volume","1","1.520","Water","1.330","0.312","1.39","3.77","88.325","4.330","56.487","88.325","21.599","43.697","10.129","181.735","19.70","0.020","2000.000","1.523","3.483","21.599","100.105","220.302","12.953","58.474","28.574","21.943","19.699","15.842","19.768","22.864","12.069","17.713","7.373","3.488","4.043","4.224","0.745"
"173","1_1_Z2_2 - Average","soil-sediments_1","Friday, 13 September 2024 06:31:33","ms2000","Volume","1","1.520","Water","1.330","0.305","1.39","3.03","71.831","4.324","58.077","71.831","21.441","45.183","8.64","136.55","19.77","0.020","2000.000","1.523","3.481","21.441","95.495","186.776","12.957","59.013","28.031","21.954","19.736","15.864","19.869","23.279","12.56","18.8","7.743","1.487","4.477","2.317","0.247"
"174","1_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 06:41:07","ms2000","Volume","1","1.520","Water","1.330","0.266","1.03","2.35","96.020","5.826","61.752","96.02","35.837","54.980","7.183","157.463","11.84","0.020","2000.000","2.140","5.528","35.837","138.204","259.566","9.406","53.595","36.999","16.261","15.217","12.19","16.659","24.746","15.043","23.375","11.384","2.24","6.709","3.502","0.265"
"175","1_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 06:42:05","ms2000","Volume","1","1.520","Water","1.330","0.260","1.04","2.16","87.820","5.781","61.761","87.82","35.32","52.380","6.995","130.311","11.81","0.020","2000.000","2.120","5.441","35.320","137.751","249.186","9.486","53.797","36.716","16.415","15.374","12.317","16.761","24.719","14.828","23.337","12.408","0.972","7.579","2.374","0"
"176","1_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 06:43:04","ms2000","Volume","1","1.520","Water","1.330","0.255","1.04","2.38","94.597","5.751","61.582","94.597","34.968","51.923","7.189","156.55","11.78","0.020","2000.000","2.105","5.384","34.968","137.198","253.505","9.548","53.863","36.589","16.52","15.465","12.392","16.837","24.634","14.78","23.184","11.227","2.179","6.594","3.276","0.313"
"177","1_1_Z3_1 - Average","soil-sediments_1","Friday, 13 September 2024 06:41:07","ms2000","Volume","1","1.520","Water","1.330","0.260","1.04","2.3","92.812","5.786","61.698","92.812","35.374","53.015","7.116","148.685","11.81","0.020","2000.000","2.121","5.450","35.374","137.716","253.836","9.48","53.752","36.768","16.399","15.352","12.3","16.753","24.7","14.884","23.298","11.674","1.796","6.961","3.053","0.191"
"178","1_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 06:50:10","ms2000","Volume","1","1.520","Water","1.330","0.269","1.02","2.19","97.670","5.909","60.487","97.67","39.017","79.281","7.165","143.305","11.28","0.020","2000.000","2.167","5.630","39.017","153.248","281.721","9.304","51.14","39.556","16.09","15.03","12.051","16.094","22.996","15.399","24.377","13.779","1.399","8.413","3.276","0"
"179","1_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 06:51:09","ms2000","Volume","1","1.520","Water","1.330","0.265","1.01","2.33","105.581","5.944","59.024","105.581","40.026","79.068","7.803","156.182","11.23","0.020","2000.000","2.177","5.676","40.026","166.179","314.508","9.265","50.335","40.4","16.017","14.941","11.984","15.932","22.419","14.856","23.63","14.794","1.976","9.035","4.228","0"
"180","1_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 06:52:07","ms2000","Volume","1","1.520","Water","1.330","0.270","1.06","2.04","84.529","5.684","61.792","84.529","35.814","82.786","6.558","119.1","11.20","0.020","2000.000","2.069","5.250","35.814","138.750","236.944","9.697","52.594","37.709","16.783","15.667","12.574","16.653","23.367","15.47","24.864","12.336","0.508","7.495","1.676","0"
"181","1_1_Z3_2 - Average","soil-sediments_1","Friday, 13 September 2024 06:50:10","ms2000","Volume","1","1.520","Water","1.330","0.268","1.03","2.2","95.927","5.843","60.434","95.927","38.224","80.161","7.137","140.641","11.24","0.020","2000.000","2.136","5.512","38.224","151.814","274.941","9.422","51.357","39.222","16.297","15.213","12.203","16.226","22.927","15.242","24.291","13.637","1.294","8.314","3.06","0"
"182","5_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 07:03:38","ms2000","Volume","1","1.520","Water","1.330","0.270","1.09","2.53","81.732","5.500","56.897","81.732","28.941","144.695","8.284","114.41","16.19","0.020","2000.000","2.070","4.461","28.941","145.637","241.824","9.645","53.769","36.586","18.358","19.89","15.892","18.71","19.166","13.447","23.018","13.432","0.136","8.284","1.131","0"
"183","5_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 07:04:36","ms2000","Volume","1","1.520","Water","1.330","0.286","1.1","2.55","81.586","5.475","56.42","81.586","28.597","154.546","8.513","113.392","16.14","0.020","2000.000","2.059","4.428","28.597","146.882","245.510","9.698","53.861","36.441","18.462","20.002","15.983","18.777","19.101","13.234","22.561","13.785","0.095","8.725","0.948","0"
"184","5_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 07:05:35","ms2000","Volume","1","1.520","Water","1.330","0.283","1.1","2.57","81.281","5.450","56.413","81.281","28.357","160.272","8.529","113.276","16.11","0.020","2000.000","2.050","4.403","28.357","146.502","243.897","9.745","53.956","36.299","18.543","20.067","16.039","18.802","19.116","13.133","22.524","13.667","0.108","8.584","0.97","0"
"185","5_1_Z3_1 - Average","soil-sediments_1","Friday, 13 September 2024 07:03:38","ms2000","Volume","1","1.520","Water","1.330","0.280","1.1","2.55","81.533","5.475","56.577","81.533","28.631","153.148","8.442","113.694","16.15","0.020","2000.000","2.060","4.431","28.631","146.332","243.757","9.696","53.862","36.442","18.454","19.986","15.971","18.763","19.128","13.272","22.701","13.647","0.094","8.533","1.014","0"
"186","5_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 07:13:42","ms2000","Volume","1","1.520","Water","1.330","0.258","0.957","2.03","99.591","6.267","56.239","99.591","43.061","180.355","6.594","127.267","16.15","0.020","2000.000","2.378","5.395","43.061","183.934","286.318","8.383","48.27","43.347","15.945","17.352","13.841","16.562","17.867","14.34","25.321","17.823","0.202","11.276","1.624","0"
"187","5_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 07:14:41","ms2000","Volume","1","1.520","Water","1.330","0.249","0.974","2.09","97.401","6.159","56.48","97.401","41.045","166.634","6.757","126.399","16.10","0.020","2000.000","2.333","5.254","41.045","178.124","279.677","8.542","48.88","42.579","16.248","17.681","14.105","16.811","17.964","14.318","25.282","17.054","0.243","10.632","1.677","0"
"188","5_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 07:15:39","ms2000","Volume","1","1.520","Water","1.330","0.259","1","2.09","90.153","5.996","57.419","90.153","38.042","158.602","6.74","116.019","16.04","0.020","2000.000","2.269","5.055","38.042","166.007","258.669","8.784","49.934","41.283","16.709","18.175","14.502","17.241","18.191","14.581","25.66","15.545","0.078","9.741","0.959","0"
"189","5_1_Z3_2 - Average","soil-sediments_1","Friday, 13 September 2024 07:13:42","ms2000","Volume","1","1.520","Water","1.330","0.255","0.977","2.07","95.715","6.138","56.713","95.715","40.668","167.108","6.701","123.4","16.10","0.020","2000.000","2.326","5.231","40.668","175.846","274.844","8.57","49.028","42.403","16.301","17.736","14.149","16.871","18.007","14.413","25.421","16.817","0.165","10.551","1.419","0"
"190","5_1_Z3_3","soil-sediments_1","Friday, 13 September 2024 07:22:54","ms2000","Volume","1","1.520","Water","1.330","0.280","1.15","2.76","78.408","5.236","56.052","78.408","25.578","158.526","9.211","111.358","20.81","0.020","2000.000","1.970","4.211","25.578","141.210","237.570","10.16","54.895","34.945","19.206","20.594","16.469","19.431","18.995","12.572","21.751","13.101","0.093","8.208","0.896","0"
"191","5_1_Z3_3","soil-sediments_1","Friday, 13 September 2024 07:23:52","ms2000","Volume","1","1.520","Water","1.330","0.281","1.16","2.86","78.806","5.182","55.525","78.806","24.865","165.069","9.58","113.246","20.73","0.020","2000.000","1.948","4.148","24.865","141.743","240.143","10.277","55.09","34.633","19.432","20.832","16.663","19.57","18.857","12.241","21.266","13.266","0.101","8.284","1.014","0"
"192","5_1_Z3_3","soil-sediments_1","Friday, 13 September 2024 07:24:51","ms2000","Volume","1","1.520","Water","1.330","0.276","1.16","2.92","80.518","5.179","55.117","80.518","24.937","172.094","9.745","116.561","20.68","0.020","2000.000","1.946","4.144","24.937","144.892","244.971","10.292","54.852","34.856","19.45","20.829","16.666","19.518","18.668","12.057","21.094","13.581","0.181","8.387","1.256","0"
"193","5_1_Z3_3 - Average","soil-sediments_1","Friday, 13 September 2024 07:22:54","ms2000","Volume","1","1.520","Water","1.330","0.279","1.15","2.85","79.244","5.199","55.565","79.244","25.125","165.154","9.509","113.745","20.74","0.020","2000.000","1.955","4.167","25.125","142.594","240.876","10.243","54.946","34.811","19.363","20.751","16.6","19.506","18.84","12.29","21.37","13.325","0.116","8.294","1.054","0"
"194","3_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 07:31:55","ms2000","Volume","1","1.520","Water","1.330","0.404","1.73","2.59","41.605","3.478","56.928","41.605","14.187","29.137","6.964","78.511","15.03","0.020","2000.000","1.257","2.771","14.187","53.984","100.056","15.306","67.662","17.032","26.067","23.41","18.943","23.203","25.516","9.389","12.676","4.269","0.087","2.695","0.573","0"
"195","3_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 07:32:53","ms2000","Volume","1","1.520","Water","1.330","0.408","1.75","2.47","38.942","3.437","57.265","38.942","13.827","28.595","6.728","72.708","14.99","0.020","2000.000","1.241","2.727","13.827","52.286","94.277","15.501","68.121","16.378","26.386","23.658","19.152","23.397","25.573","9.561","12.801","3.507","0.069","2.158","0.475","0"
"196","3_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 07:33:51","ms2000","Volume","1","1.520","Water","1.330","0.411","1.76","2.52","38.876","3.408","56.833","38.876","13.572","28.821","6.689","74.405","14.97","0.020","2000.000","1.229","2.695","13.572","51.006","92.011","15.644","68.463","15.894","26.621","23.851","19.312","23.507","25.644","9.2","12.221","3.583","0.09","2.211","0.546","0"
"197","3_1_Z1_1 - Average","soil-sediments_1","Friday, 13 September 2024 07:31:55","ms2000","Volume","1","1.520","Water","1.330","0.408","1.74","2.53","39.808","3.441","57.009","39.808","13.859","28.858","6.79","75.258","15.00","0.020","2000.000","1.242","2.730","13.859","52.405","95.346","15.484","68.082","16.434","26.358","23.639","19.136","23.369","25.578","9.384","12.566","3.786","0.082","2.355","0.531","0"
"198","3_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 07:41:09","ms2000","Volume","1","1.520","Water","1.330","0.399","1.89","3.15","39.778","3.168","52.958","39.778","11.344","19.645","8.207","83.376","17.72","0.020","2000.000","1.135","2.454","11.344","46.416","94.231","16.869","68.04","15.09","28.671","25.752","20.822","24.834","22.384","7.751","10.67","4.283","0.138","2.646","0.829","0"
"199","3_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 07:42:07","ms2000","Volume","1","1.520","Water","1.330","0.403","1.91","3","37.177","3.134","53.13","37.177","11.065","19.053","7.94","77.214","17.67","0.020","2000.000","1.122","2.420","11.065","44.912","88.975","17.062","68.433","14.505","28.998","26.03","21.052","25.037","22.343","7.843","10.727","3.672","0.106","2.234","0.663","0"
"200","3_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 07:43:06","ms2000","Volume","1","1.520","Water","1.330","0.411","1.93","3.05","37.208","3.113","52.722","37.208","10.892","19.193","8.014","78.258","17.64","0.020","2000.000","1.114","2.397","10.892","43.917","88.404","17.192","68.567","14.241","29.218","26.212","21.205","25.143","22.219","7.507","10.367","3.759","0.115","2.27","0.702","0"
"201","3_1_Z1_2 - Average","soil-sediments_1","Friday, 13 September 2024 07:41:09","ms2000","Volume","1","1.520","Water","1.330","0.404","1.91","3.07","38.054","3.138","52.937","38.054","11.098","19.289","8.052","79.671","17.68","0.020","2000.000","1.123","2.423","11.098","45.071","90.484","17.041","68.347","14.612","28.962","25.998","21.026","25.005","22.315","7.7","10.588","3.905","0.12","2.383","0.731","0"
"202","3_1_Z1_3","soil-sediments_1","Friday, 13 September 2024 07:50:55","ms2000","Volume","1","1.520","Water","1.330","0.407","1.86","2.94","38.474","3.223","53.604","38.474","11.688","22.880","7.505","79.079","15.64","0.020","2000.000","1.161","2.505","11.688","45.661","88.886","16.555","68.978","14.467","28.309","25.554","20.701","24.638","23.638","7.508","10.18","4.176","0.111","2.654","0.642","0"
"203","3_1_Z1_3","soil-sediments_1","Friday, 13 September 2024 07:51:53","ms2000","Volume","1","1.520","Water","1.330","0.409","1.88","2.99","38.215","3.190","53.171","38.215","11.417","22.546","7.461","80.345","15.60","0.020","2000.000","1.148","2.471","11.417","44.327","86.326","16.74","69.258","14.002","28.622","25.812","20.918","24.813","23.526","7.199","9.725","4.167","0.11","2.629","0.715","0"
"204","3_1_Z1_3","soil-sediments_1","Friday, 13 September 2024 07:52:51","ms2000","Volume","1","1.520","Water","1.330","0.412","1.89","2.96","37.301","3.171","53.192","37.301","11.234","22.132","7.393","79.203","15.57","0.020","2000.000","1.142","2.453","11.234","43.438","84.190","16.842","69.465","13.693","28.81","26.002","21.072","24.982","23.411","7.2","9.729","3.846","0.118","2.379","0.735","0"
"205","3_1_Z1_3 - Average","soil-sediments_1","Friday, 13 September 2024 07:50:55","ms2000","Volume","1","1.520","Water","1.330","0.409","1.88","2.96","37.997","3.194","53.322","37.997","11.444","22.508","7.455","79.546","15.60","0.020","2000.000","1.150","2.476","11.444","44.468","86.459","16.712","69.234","14.054","28.58","25.789","20.897","24.811","23.525","7.302","9.878","4.07","0.107","2.555","0.696","0"
"206","4_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 08:00:10","ms2000","Volume","1","1.520","Water","1.330","0.321","1.23","3.7","94.096","4.861","55.64","94.096","23.293","37.324","15.888","178.533","14.07","0.020","2000.000","1.778","4.125","23.293","81.060","371.853","11.179","64.256","24.565","19.577","18.729","15.007","20.332","28.917","8.709","10.113","11.32","3.132","7.448","5.99","0.094"
"207","4_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 08:01:08","ms2000","Volume","1","1.520","Water","1.330","0.338","1.28","3.52","85.285","4.691","56.443","85.285","22.073","36.974","14.848","166.193","14.00","0.020","2000.000","1.723","3.959","22.073","73.602","329.472","11.52","65.446","23.034","20.145","19.206","15.398","20.816","29.232","8.838","10.203","10.258","2.573","6.783","5.18","0.033"
"208","4_1_Z3_1","soil-sediments_1","Friday, 13 September 2024 08:02:07","ms2000","Volume","1","1.520","Water","1.330","0.420","1.15","5.75","164.644","5.213","51.083","164.644","27.069","36.546","23.563","305.546","13.99","0.020","2000.000","1.913","4.563","27.069","266.569","639.731","10.425","59.432","30.143","18.279","17.483","14.021","18.899","26.512","7.861","9.134","10.765","10.244","6.506","10.287","3.505"
"209","4_1_Z3_1 - Average","soil-sediments_1","Friday, 13 September 2024 08:00:10","ms2000","Volume","1","1.520","Water","1.330","0.360","1.22","4.44","114.675","4.912","54.389","114.675","24.011","36.956","18.327","228.5","14.02","0.020","2000.000","1.801","4.200","24.011","90.848","441.850","11.042","63.045","25.914","19.333","18.473","14.809","20.015","28.22","8.47","9.817","10.78","5.317","6.912","7.17","1.193"
"210","4_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 08:09:15","ms2000","Volume","1","1.520","Water","1.330","0.325","1.31","2.41","57.759","4.585","61.215","57.759","20.982","37.054","5.648","112.572","15.42","0.020","2000.000","1.691","3.855","20.982","62.079","120.185","11.733","68.61","19.657","20.528","19.624","15.734","21.386","31.491","9.944","12.229","6.721","0.707","4.42","1.999","0"
"211","4_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 08:10:14","ms2000","Volume","1","1.520","Water","1.330","0.343","1.31","2.35","56.361","4.579","61.334","56.361","20.921","37.399","5.544","108.294","15.36","0.020","2000.000","1.690","3.844","20.921","62.041","117.672","11.744","68.616","19.64","20.572","19.704","15.797","21.387","31.432","10.102","12.422","6.686","0.532","4.459","1.742","0"
"212","4_1_Z3_2","soil-sediments_1","Friday, 13 September 2024 08:11:12","ms2000","Volume","1","1.520","Water","1.330","0.363","1.33","2.23","52.414","4.525","61.865","52.414","20.393","37.381","5.136","100.307","15.32","0.020","2000.000","1.668","3.778","20.393","60.069","106.401","11.894","69.248","18.858","20.831","19.952","15.995","21.648","31.606","10.277","12.569","5.932","0.358","3.962","1.409","0"
"213","4_1_Z3_2 - Average","soil-sediments_1","Friday, 13 September 2024 08:09:15","ms2000","Volume","1","1.520","Water","1.330","0.344","1.32","2.33","55.511","4.563","61.471","55.511","20.765","37.275","5.415","107.202","15.37","0.020","2000.000","1.683","3.825","20.765","61.375","114.115","11.79","68.825","19.385","20.644","19.76","15.842","21.473","31.51","10.108","12.407","6.443","0.536","4.28","1.717","0"
"214","4_1_Z3_3","soil-sediments_1","Friday, 13 September 2024 08:18:59","ms2000","Volume","1","1.520","Water","1.330","0.301","1.44","2.94","54.852","4.174","58.164","54.852","16.645","31.289","5.752","124.202","12.67","0.020","2000.000","1.537","3.340","16.645","51.340","97.271","12.95","71.321","15.729","22.847","22.053","17.693","23.842","29.787","7.32","8.896","5.507","1.326","3.524","2.505","0.038"
"215","4_1_Z3_3","soil-sediments_1","Friday, 13 September 2024 08:19:57","ms2000","Volume","1","1.520","Water","1.330","0.332","1.41","3.51","66.759","4.250","56.454","66.759","17.287","31.011","8.139","147.434","12.64","0.020","2000.000","1.565","3.416","17.287","55.591","142.259","12.72","69.71","17.57","22.459","21.682","17.4","23.392","28.917","7.109","8.426","7.099","2.045","4.565","3.798","0.063"
"216","4_1_Z3_3","soil-sediments_1","Friday, 13 September 2024 08:20:55","ms2000","Volume","1","1.520","Water","1.330","0.345","1.46","2.77","50.251","4.110","57.974","50.251","16.099","30.912","5.44","109.68","12.60","0.020","2000.000","1.513","3.267","16.099","49.418","89.096","13.163","71.979","14.857","23.24","22.429","18.004","24.148","29.827","7.134","8.424","5.701","0.733","3.782","1.975","0"
"217","4_1_Z3_3 - Average","soil-sediments_1","Friday, 13 September 2024 08:18:59","ms2000","Volume","1","1.520","Water","1.330","0.326","1.44","3.08","57.287","4.177","57.531","57.287","16.667","31.072","6.049","128.241","12.64","0.020","2000.000","1.538","3.340","16.667","51.968","102.361","12.944","71.004","16.052","22.849","22.055","17.699","23.794","29.51","7.188","8.582","6.104","1.367","3.957","2.76","0.033"
"218","4_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 08:28:09","ms2000","Volume","1","1.520","Water","1.330","0.295","1.29","2.36","55.021","4.646","61.864","55.021","20.278","36.168","4.987","111.786","14.90","0.020","2000.000","1.719","3.885","20.278","58.208","102.849","11.569","70.329","18.103","20.424","19.906","15.918","22.173","32.238","9.67","11.442","5.871","0.79","3.902","2.026","0"
"219","4_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 08:29:07","ms2000","Volume","1","1.520","Water","1.330","0.305","1.26","2.8","67.021","4.752","60.266","67.021","21.301","36.058","6.847","136.472","14.85","0.020","2000.000","1.758","4.005","21.301","63.628","147.604","11.317","68.465","20.218","19.981","19.459","15.567","21.58","31.318","9.38","11.26","7.403","1.555","4.802","3.312","0"
"220","4_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 08:30:06","ms2000","Volume","1","1.520","Water","1.330","0.328","1.29","2.51","57.877","4.644","60.789","57.877","20.21","35.409","5.555","115.429","14.80","0.020","2000.000","1.718","3.871","20.210","59.414","113.993","11.579","69.763","18.657","20.478","19.979","15.985","22.179","31.599","9.27","11.004","6.919","0.734","4.679","2.141","0"
"221","4_1_Z1_1 - Average","soil-sediments_1","Friday, 13 September 2024 08:28:09","ms2000","Volume","1","1.520","Water","1.330","0.309","1.28","2.56","59.973","4.680","60.973","59.973","20.587","35.880","5.592","121.824","14.85","0.020","2000.000","1.731","3.920","20.587","60.305","116.852","11.488","69.519","18.993","20.294","19.781","15.823","21.977","31.718","9.44","11.235","6.73","1.027","4.461","2.493","0"
"222","4_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 08:37:46","ms2000","Volume","1","1.520","Water","1.330","0.365","1.8","2.7","32.314","3.335","53.008","32.314","10.504","20.598","5.412","79.185","23.92","0.020","2000.000","1.224","2.501","10.504","33.610","58.070","16.425","74.56","9.015","28.696","27.178","21.821","28.336","24.403","4.492","5.626","3.123","0.266","2.025","0.888","0"
"223","4_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 08:38:44","ms2000","Volume","1","1.520","Water","1.330","0.358","1.81","2.87","33.843","3.317","52.631","33.843","10.404","20.477","5.435","86.988","23.82","0.020","2000.000","1.216","2.483","10.404","33.362","57.765","16.525","74.508","8.966","28.854","27.295","21.92","28.359","24.23","4.369","5.418","3.061","0.487","1.907","1.243","0"
"224","4_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 08:39:42","ms2000","Volume","1","1.520","Water","1.330","0.366","1.8","2.91","34.290","3.327","52.542","34.29","10.43","20.332","5.52","87.156","23.76","0.020","2000.000","1.221","2.492","10.430","33.608","58.799","16.471","74.336","9.193","28.788","27.286","21.908","28.328","24.101","4.381","5.492","3.251","0.45","2.05","1.217","0"
"225","4_1_Z1_2 - Average","soil-sediments_1","Friday, 13 September 2024 08:37:46","ms2000","Volume","1","1.520","Water","1.330","0.363","1.8","2.83","33.482","3.326","52.727","33.482","10.446","20.469","5.455","84.529","23.83","0.020","2000.000","1.220","2.492","10.446","33.526","58.204","16.474","74.468","9.058","28.779","27.253","21.883","28.341","24.244","4.414","5.512","3.151","0.395","1.994","1.116","0"
"226","4_1_Z1_3","soil-sediments_1","Friday, 13 September 2024 08:48:05","ms2000","Volume","1","1.520","Water","1.330","1.175","1.1","1.34","49.016","5.453","69.212","49.016","28.92","45.081","3.87","65.246","17.30","0.020","2000.000","2.056","5.113","28.920","70.376","113.970","9.754","66.898","23.349","16.966","16.225","12.98","17.884","36.034","14.475","18.539","4.809","0","2.999","0","0"
"227","4_1_Z1_3","soil-sediments_1","Friday, 13 September 2024 08:49:03","ms2000","Volume","1","1.520","Water","1.330","1.198","1.09","1.69","60.196","5.510","67.175","60.196","29.489","45.285","4.29","98.421","17.22","0.020","2000.000","2.077","5.182","29.489","73.965","128.583","9.663","65.676","24.66","16.82","16.091","12.874","17.713","35.089","14.367","17.589","6.982","0.089","4.874","1.112","0"
